upper|lower|rain|month|yr|monthF
365|11.8|8.3|5.1|12|1987|12
366|10.8|6|0|1|1988|1
367|12|8.5|2.9|1|1988|1
368|12.5|5.7|4.7|1|1988|1
369|9|5.8|1.5|1|1988|1
370|10.3|5.8|8.8|1|1988|1
371|10|5.8|2.5|1|1988|1
372|9|2.8|0.3|1|1988|1
373|5.5|-2.8|0|1|1988|1
374|11.5|5.8|1.1|1|1988|1
375|12|5.8|1.4|1|1988|1
376|8.5|2|0|1|1988|1
377|7|2.3|0|1|1988|1
378|7.8|4.5|5.2|1|1988|1
379|8|4.3|5.4|1|1988|1
380|9.3|1|1.2|1|1988|1
381|5.3|0|0|1|1988|1
382|1.8|-2.3|0|1|1988|1
383|5.5|-1.8|0|1|1988|1
384|8|5.3|0|1|1988|1
385|8.3|3.5|1.2|1|1988|1
386|6.8|-0.8|3.1|1|1988|1
387|5.8|1.3|12.3|1|1988|1
388|4|-1|0.2|1|1988|1
389|10.5|1.5|6.6|1|1988|1
390|10.8|4.5|12.3|1|1988|1
391|8|5.3|1.9|1|1988|1
392|7.5|2.3|0|1|1988|1
393|6|2.8|11.5|1|1988|1
394|9|4.8|9.1|1|1988|1
395|6.5|2.8|9.9|1|1988|1
396|7.5|2|0|1|1988|1
397|8.8|2|14.9|2|1988|2
398|9.3|5.3|3.5|2|1988|2
399|7|2.5|1.4|2|1988|2
400|9.3|1.8|5.8|2|1988|2
401|7.5|1|1.2|2|1988|2
402|9.5|1|0|2|1988|2
403|7|1|0|2|1988|2
404|7|1.5|7.1|2|1988|2
405|9.8|2.5|3.3|2|1988|2
406|6.8|1.3|1|2|1988|2
407|7|1.3|2.8|2|1988|2
408|6.5|-0.8|0|2|1988|2
409|7|-2.5|0|2|1988|2
410|9|6.3|2.9|2|1988|2
411|11.5|-0.3|0|2|1988|2
412|13.5|2|0|2|1988|2
413|7.5|-0.3|0|2|1988|2
414|8.3|1.8|0|2|1988|2
415|9.8|4|0|2|1988|2
416|11|5.5|0|2|1988|2
417|9.3|5|0|2|1988|2
418|9.3|-0.8|0|2|1988|2
419|9.8|2.3|0|2|1988|2
420|6.5|0.8|0|2|1988|2
421|4.8|0.3|0.2|2|1988|2
422|5.3|-3|0.2|2|1988|2
423|5|-1.8|0|2|1988|2
424|7.3|3|0.4|2|1988|2
425|8.8|-0.5|0.7|2|1988|2
426|4.3|-1.5|0|3|1988|3
427|5.8|-2.8|0|3|1988|3
428|6.3|0.8|0.1|3|1988|3
429|8.5|-0.8|3.1|3|1988|3
430|14.5|4.3|0|3|1988|3
431|5.5|-4|0|3|1988|3
432|6.8|1|0|3|1988|3
433|9.3|5|0.1|3|1988|3
434|7.8|3|0.2|3|1988|3
435|8.3|3.8|0|3|1988|3
436|11.3|3.8|3.5|3|1988|3
437|9.5|2.8|0.1|3|1988|3
438|10.5|7|0|3|1988|3
439|10.5|6|0|3|1988|3
440|10.3|6.8|1.8|3|1988|3
441|9.8|6.3|4.8|3|1988|3
442|10.5|5.3|7|3|1988|3
443|11|3.5|0.1|3|1988|3
444|9|3.3|1.2|3|1988|3
445|10.8|5.3|6.4|3|1988|3
446|11.5|8.3|3.1|3|1988|3
447|11.5|7.5|11.2|3|1988|3
448|13.3|4.8|0.5|3|1988|3
449|13.8|5.8|1|3|1988|3
450|12|7|0.3|3|1988|3
451|12.8|6|6.7|3|1988|3
452|12.3|5.5|0.2|3|1988|3
453|11|5.5|0|3|1988|3
454|12.3|3.8|0.5|3|1988|3
455|9.8|5|1.5|3|1988|3
456|8.3|4|7.5|3|1988|3
457|9.8|3.3|0|3|1988|3
458|10.8|-1.8|0.6|4|1988|4
459|11.5|6.3|0|4|1988|4
460|13|-0.5|0|4|1988|4
461|11.5|4.5|0|4|1988|4
462|8.5|4.8|0|4|1988|4
463|12.8|2.8|0|4|1988|4
464|13|3.8|0|4|1988|4
465|12.5|0.5|5.9|4|1988|4
466|6|-3.8|0.9|4|1988|4
467|12|-1|0|4|1988|4
468|15.5|1.5|0|4|1988|4
469|14.8|-0.3|0|4|1988|4
470|15|-2.5|0|4|1988|4
471|10.8|6|0|4|1988|4
472|12.5|10.8|2.3|4|1988|4
473|13.8|10.3|3.3|4|1988|4
474|16.8|7|0|4|1988|4
475|17.3|11|7.5|4|1988|4
476|15.3|8.8|3.5|4|1988|4
477|16.3|8|0|4|1988|4
478|15.5|5|0|4|1988|4
479|10.5|4.5|0|4|1988|4
480|10|-1|0|4|1988|4
481|11.3|-1.5|0|4|1988|4
482|12.5|-1|0|4|1988|4
483|14.8|6|0|4|1988|4
484|11.5|3.3|0|4|1988|4
485|11.3|4.5|0.3|4|1988|4
486|12.5|7.5|1.6|4|1988|4
487|15.3|9|5.9|5|1988|5
488|14.3|8.3|2.3|5|1988|5
489|15|8|1.5|5|1988|5
490|14.3|9.5|1.3|5|1988|5
491|14.8|4.8|1.4|5|1988|5
492|17|3.5|0|5|1988|5
493|20|6.5|0|5|1988|5
494|19|12.5|8.5|5|1988|5
495|22.3|11.5|0|5|1988|5
496|13.8|10|0|5|1988|5
497|17.3|5.5|0|5|1988|5
498|15.5|9.3|3.1|5|1988|5
499|18.8|7.5|1.7|5|1988|5
500|19.5|8.3|0|5|1988|5
501|23.5|10|0|5|1988|5
502|23|8.5|0|5|1988|5
503|21.8|4.5|0|5|1988|5
504|20.5|7|1.7|5|1988|5
505|11|5.5|0|5|1988|5
506|13.3|0|0|5|1988|5
507|15.1|2|0|5|1988|5
508|15.9|3|0|5|1988|5
509|18|8|0.2|5|1988|5
510|16.8|8.3|2.1|5|1988|5
511|17|11|0|5|1988|5
512|19|10.3|0|5|1988|5
513|18.8|5|0.6|5|1988|5
514|18|6.8|0|5|1988|5
515|17.5|9.8|3.2|5|1988|5
516|15.3|9.3|1.8|5|1988|5
517|15.5|9.5|10|5|1988|5
518|17.3|7|0|6|1988|6
519|17.3|11.3|1.3|6|1988|6
520|16.5|7.8|0|6|1988|6
521|15.5|8|7.4|6|1988|6
522|14.8|6.3|3.2|6|1988|6
523|14.8|7.8|0|6|1988|6
524|16.5|4.5|0|6|1988|6
525|18.5|9|1.9|6|1988|6
526|15.5|11.3|9.8|6|1988|6
527|12.5|11|0.4|6|1988|6
528|13.4|9.3|0.1|6|1988|6
529|15.5|9.8|0|6|1988|6
530|19.3|9.8|0|6|1988|6
531|23|7.3|0|6|1988|6
532|23|10.8|0|6|1988|6
533|21|11.8|0|6|1988|6
534|21|10.8|0|6|1988|6
535|15.8|10|0.2|6|1988|6
536|19.6|9|0|6|1988|6
537|24.5|11|0|6|1988|6
538|21.8|13.5|0|6|1988|6
539|21.5|12.3|0|6|1988|6
540|20.5|8|0|6|1988|6
541|24.3|9.8|0|6|1988|6
542|21.3|12.5|0|6|1988|6
543|23|12.3|0.1|6|1988|6
544|19.8|11.3|0|6|1988|6
545|16|11.8|6.5|6|1988|6
546|17.5|13|2.8|6|1988|6
547|20.5|13.5|0|6|1988|6
548|23.8|13|5.1|7|1988|7
549|18.8|9.3|1.4|7|1988|7
550|17.8|5.8|3.2|7|1988|7
551|16.5|12|23.7|7|1988|7
552|16.8|11.3|6.9|7|1988|7
553|19.5|11.3|7.4|7|1988|7
554|18.5|11.8|2.4|7|1988|7
555|18.3|10.5|0.2|7|1988|7
556|18.5|10.3|0|7|1988|7
557|18.3|14.3|0|7|1988|7
558|18|10.5|4.2|7|1988|7
559|19.5|10.3|0.1|7|1988|7
560|18.8|12.5|3.7|7|1988|7
561|18.5|10.3|2.7|7|1988|7
562|17.3|12|0.1|7|1988|7
563|18.3|9|0|7|1988|7
564|17|14.3|14.4|7|1988|7
565|18.5|12.5|0.3|7|1988|7
566|21.5|10|0|7|1988|7
567|21.5|14.3|0|7|1988|7
568|21.5|14|0.5|7|1988|7
569|17.8|17.2|4.8|7|1988|7
570|20.4|15.5|8.3|7|1988|7
571|20.4|10.5|0.7|7|1988|7
572|19.3|12.8|1|7|1988|7
573|20|10.8|0.1|7|1988|7
574|19.3|9|1.1|7|1988|7
575|19|12.8|1.2|7|1988|7
576|16.3|9.8|0|7|1988|7
577|18.3|9.8|3.4|7|1988|7
578|18.3|10.8|2|7|1988|7
579|19.3|10.5|1.5|8|1988|8
580|19.5|9.3|0|8|1988|8
581|18.5|8|1.2|8|1988|8
582|18.8|9.5|0|8|1988|8
583|20.3|14.5|0|8|1988|8
584|20|8|0|8|1988|8
585|27.5|10.3|0|8|1988|8
586|27.8|9.5|0|8|1988|8
587|25.5|15.5|0.6|8|1988|8
588|21.5|8.8|0|8|1988|8
589|19.5|11.3|0|8|1988|8
590|21.5|13.5|1|8|1988|8
591|19.5|10.8|0|8|1988|8
592|19.5|13.5|0|8|1988|8
593|21|13|0|8|1988|8
594|21.8|12.3|0|8|1988|8
595|23.5|7.3|0|8|1988|8
596|25.5|8.5|0|8|1988|8
597|23.5|14.5|6.4|8|1988|8
598|20.5|12|6|8|1988|8
599|19|12.5|1.9|8|1988|8
600|16.8|9.8|0|8|1988|8
601|18.5|10.3|0|8|1988|8
602|18.3|13.5|0.7|8|1988|8
603|18.3|9.8|0.7|8|1988|8
604|17|10.8|0|8|1988|8
605|18.8|15|0|8|1988|8
606|15|12.8|0|8|1988|8
607|18|7|1.8|8|1988|8
608|18.8|9.8|0|8|1988|8
609|18.5|12|20.2|8|1988|8
610|19|11.8|20.8|9|1988|9
611|17.5|11.3|3.8|9|1988|9
612|16.8|10.3|0|9|1988|9
613|17.5|8.5|0|9|1988|9
614|18.8|11.1|0.5|9|1988|9
615|21|7|0|9|1988|9
616|23.5|8.5|0|9|1988|9
617|25.3|12|0|9|1988|9
618|24.3|12.8|0|9|1988|9
619|21.8|7.8|0|9|1988|9
620|21.8|9.8|0|9|1988|9
621|18.3|8.8|0|9|1988|9
622|17.5|8.8|2.6|9|1988|9
623|14.8|8.8|7.4|9|1988|9
624|14|7.5|0|9|1988|9
625|15|9|0.6|9|1988|9
626|18|11.5|0|9|1988|9
627|15.5|11|0|9|1988|9
628|16.8|3.8|0|9|1988|9
629|16.5|4.5|0|9|1988|9
630|12.3|5.5|0|9|1988|9
631|16.5|11.5|0|9|1988|9
632|17|9.5|5|9|1988|9
633|15.8|10|0|9|1988|9
634|15.3|14|2.6|9|1988|9
635|19|15.5|0|9|1988|9
636|17.3|15.3|3|9|1988|9
637|16|11|10.5|9|1988|9
638|15|7|1.5|9|1988|9
639|14.1|0.5|0|9|1988|9
640|13.5|-1|0|10|1988|10
641|15.3|-0.8|0|10|1988|10
642|15.5|4.5|0|10|1988|10
643|17|7.5|0|10|1988|10
644|15|9.5|4.1|10|1988|10
645|14.8|10.8|11.7|10|1988|10
646|13.8|8.8|3.7|10|1988|10
647|12.5|5.8|0|10|1988|10
648|13.8|9|21.9|10|1988|10
649|12.5|5|8.9|10|1988|10
650|12.3|0.8|0|10|1988|10
651|13.3|7.3|5.9|10|1988|10
652|12.5|5|3.9|10|1988|10
653|13|4.8|0|10|1988|10
654|16.3|11|0|10|1988|10
655|13.5|12.8|0|10|1988|10
656|14.3|12.5|0|10|1988|10
657|14.3|12.3|0.5|10|1988|10
658|17.3|12.8|0.8|10|1988|10
659|17.8|11.5|0.5|10|1988|10
660|15.4|-2.3|0|10|1988|10
661|15.8|5.9|0|10|1988|10
662|16.7|7.9|0|10|1988|10
663|14.8|10.5|0.3|10|1988|10
664|16|10.3|5.4|10|1988|10
665|15.3|12.8|0|10|1988|10
666|16.5|13|0|10|1988|10
667|15.5|9.5|0|10|1988|10
668|13.8|0|0|10|1988|10
669|10.3|-2.3|0|10|1988|10
670|9.3|-2|0|10|1988|10
671|9.3|-3.5|0|11|1988|11
672|10.5|-0.8|0|11|1988|11
673|10|-3.3|0|11|1988|11
674|7.5|-3.5|0|11|1988|11
675|6.8|-3|0|11|1988|11
676|7.8|-1.5|0|11|1988|11
677|9.3|-1.5|0|11|1988|11
678|10|2|0|11|1988|11
679|13.8|6|1.5|11|1988|11
680|15.3|13|0|11|1988|11
681|15|6|0.3|11|1988|11
682|12.8|9.5|0.3|11|1988|11
683|10.8|3.5|0|11|1988|11
684|9.8|1.5|0|11|1988|11
685|10.3|-1.3|0|11|1988|11
686|5.5|-1.5|0|11|1988|11
687|12|1|0|11|1988|11
688|13|8.8|0.3|11|1988|11
689|10|0|0|11|1988|11
690|6|0.5|2.6|11|1988|11
691|4.5|-1.3|0.5|11|1988|11
692|2.3|-4.8|0|11|1988|11
693|3.5|-2.5|0.1|11|1988|11
694|5.5|-5.3|0|11|1988|11
695|6.5|-2.5|0|11|1988|11
696|4|-1|0|11|1988|11
697|5.5|-4|0|11|1988|11
698|6.5|-3.3|0.5|11|1988|11
699|11.5|6.3|0.4|11|1988|11
700|12|6.8|9.8|11|1988|11
701|12|0|0|12|1988|12
702|7|2|0|12|1988|12
703|3.3|-1|1|12|1988|12
704|9.5|2.8|7.5|12|1988|12
705|9|5.8|0.6|12|1988|12
706|7|3.5|0.3|12|1988|12
707|6.8|0.5|0|12|1988|12
708|6.8|1.5|0|12|1988|12
709|10.3|6.5|0|12|1988|12
710|13|7.5|0|12|1988|12
711|12|8.5|0|12|1988|12
712|10.8|7.3|0.4|12|1988|12
713|9.5|2.3|0|12|1988|12
714|10|5.8|0|12|1988|12
715|8.8|6|0|12|1988|12
716|8.8|5.5|0|12|1988|12
717|8.8|1.3|0.1|12|1988|12
718|6.8|2.5|0|12|1988|12
719|11.8|5.5|0|12|1988|12
720|12|2.3|0|12|1988|12
721|10|4.5|0|12|1988|12
722|11.5|9.3|0|12|1988|12
723|11.5|9.8|0|12|1988|12
724|12.8|8.8|0|12|1988|12
725|13|8|0|12|1988|12
726|11.5|9.8|0|12|1988|12
727|13.3|6.3|1.8|12|1988|12
728|11.8|7|0.8|12|1988|12
729|12|5.5|0|12|1988|12
730|8|3.8|0|12|1988|12
731|8|4.3|0|12|1988|12
732|9.3|5.3|0|1|1989|1
